srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
arasj,-45.93214254041128,-59.77196447642247,852.5102326090491,94.764145,72.34521,114.86705,1.0
arasj,-45.91418500074885,-59.770330008178846,870.6703375332422,106.26305,79.40384,125.28046,1.0
arasj,-45.89622738104081,-59.76869659392964,931.2769977781918,121.327545,86.509346,140.38892,1.0
arasj,-45.87826968131524,-59.767064232337475,900.8327627235752,113.74198,86.6336,131.87039,1.0
arasj,-45.86031190160023,-59.76543292206712,917.5909715721424,134.77872,86.1171,152.95483,1.0
arasj,-45.8423540419238,-59.763802661785455,888.6427356853117,119.53905,90.40111,137.60081,1.0
arasj,-45.824396102313976,-59.76217345016149,910.9722734696309,118.12025,88.17011,136.18611,1.0
arasj,-45.806438082798756,-59.76054528586635,860.210967243792,119.46161,89.619316,137.52751,1.0
arasj,-45.7884799834061,-59.75891816757327,851.6081291697487,119.55597,89.24956,137.61569,1.0
arasj,-45.77052180416397,-59.75729209395758,855.1433405854568,119.593544,90.1796,137.64922,1.0
arasj,-45.75256354510025,-59.755667063696734,852.4273085626872,128.63766,91.50462,146.71617,1.0
arasj,-45.734605206242875,-59.754043075470264,854.2540743381395,126.21302,92.11922,144.27446,1.0
arasj,-45.716646787619695,-59.75242012795982,858.4647412805375,119.42525,90.28819,137.48343,1.0
arasj,-45.69868828925856,-59.750798219849116,870.3163598139586,126.67572,93.50922,144.72879,1.0
arasj,-45.680729711187304,-59.74917734982398,891.2643941428314,121.77137,91.74228,139.8336,1.0
arasj,-45.66277105343373,-59.74755751657229,1149.033008005395,124.79424,93.94904,142.86311,1.0
arasj,-45.6448123160256,-59.745938718784025,971.441558908768,125.550064,96.63204,143.60509,1.0
arasj,-45.626853498990684,-59.74432095515123,889.0626789399097,120.92654,91.68548,138.98892,1.0
arasj,-45.60889460235669,-59.742704224368026,1130.2798759915847,127.41656,94.34497,145.46918,1.0
arasj,-45.59093562615136,-59.74108852513058,912.8866220613884,128.5671,102.181786,146.63283,1.0
arasj,-45.57297657040234,-59.73947385613714,845.1002604617671,124.14977,94.4535,142.20998,1.0
arasj,-45.55501743513732,-59.737860216087995,837.6536147424997,130.88753,98.08705,148.9453,1.0
arasj,-45.537058220383926,-59.736247603685506,838.0028757086397,125.807396,96.04632,143.86902,1.0
arasj,-45.51909892616977,-59.73463601763406,842.5976282339257,132.37242,99.47821,150.44168,1.0
arasj,-45.50113955252246,-59.73302545664011,853.1050743757324,127.35169,96.42903,145.40845,1.0
arasj,-45.48318009946954,-59.731415919412115,912.0477269415786,130.5757,98.64127,148.62903,1.0
arasj,-45.46522056703859,-59.72980740466062,962.6728594066689,139.64989,100.1558,157.67786,1.0
arasj,-45.44726095525712,-59.72819991109815,874.6052744360891,129.73254,98.19314,147.79689,1.0
arasj,-45.42930126415263,-59.726593437439305,927.2680948912523,131.24307,98.601326,149.30063,1.0
arasj,-45.41134149375259,-59.72498798240067,1184.3870475127967,134.84488,100.596886,152.9135,1.0
arasj,-45.39338164408447,-59.72338354470087,1236.9288762763813,134.18378,104.39175,152.23799,1.0
arasj,-45.375421715175705,-59.72178012306055,1025.872555803534,133.73839,102.34939,151.79097,1.0
arasj,-45.357461707053716,-59.720177716202336,839.5852396848475,128.48857,98.28871,146.55164,1.0
arasj,-45.339501619745874,-59.71857632285091,841.1446588968498,139.01881,102.66926,157.07108,1.0
arasj,-45.32154145327956,-59.716975941732905,841.0429935961223,131.48021,100.291046,149.54187,1.0
arasj,-45.303581207682136,-59.715376571576996,832.3169608929747,134.33293,101.562904,152.3916,1.0
arasj,-45.28562088298091,-59.71377821111383,827.9661467946794,131.72427,100.29115,149.78764,1.0
arasj,-45.26766047920318,-59.71218085907606,831.5678603930118,135.88553,102.48098,153.94725,1.0
arasj,-45.24969999637626,-59.7105845141983,842.5779112426068,131.11299,100.553955,149.17508,1.0
arasj,-45.23173943452738,-59.708989175217184,869.6652371634141,136.87596,103.01081,154.92435,1.0
arasj,-45.21377879368379,-59.707394840871295,884.3280609361796,131.68465,100.70804,149.74062,1.0
arasj,-45.195818073872715,-59.705801509901214,916.5549342049226,137.85149,103.30544,155.91173,1.0
arasj,-45.17785727512135,-59.70420918104948,911.7128807867681,135.81805,102.32895,153.8829,1.0
arasj,-45.159896397456876,-59.702617853060595,1003.1044735706014,134.39473,102.01419,152.45523,1.0
arasj,-45.14193544090644,-59.701027524681045,1011.2364504416678,136.64986,105.99902,154.70895,1.0
arasj,-45.12397440549717,-59.69943819465925,938.2878956961149,133.99371,102.98608,152.05046,1.0
arasj,-45.106013291256204,-59.69784986174561,938.2015858913136,134.79678,102.66909,152.8537,1.0
arasj,-45.08805209821061,-59.69626252469246,951.4254585965638,142.50685,105.801605,160.56532,1.0
arasj,-45.07009082638749,-59.69467618225409,982.5548791380766,135.09793,103.256836,153.15894,1.0
arasj,-45.05212947581387,-59.69309083318674,962.8463712347982,138.708,104.41762,156.77364,1.0
arasj,-45.0341680465168,-59.69150647624858,964.7904405717042,137.05582,104.65217,155.1063,1.0
arasj,-45.016206538523264,-59.68992311019971,1012.103487157488,138.09187,104.253334,156.15361,1.0
arasj,-44.998244951860286,-59.68834073380218,1033.5229148134715,138.79753,104.98485,156.85855,1.0
arasj,-44.98028328655483,-59.68675934581996,1112.3964907119623,142.83246,104.9372,160.91864,1.0
arasj,-44.96232154263382,-59.685178945018954,1298.1684490591454,138.90202,105.64248,156.9676,1.0
arasj,-44.94435972012421,-59.683599530166966,1316.4492198605285,144.0005,106.46872,162.05893,1.0
arasj,-44.926397819052916,-59.68202110003374,1217.0197354072216,147.28386,106.67061,165.34859,1.0
arasj,-44.90843583944681,-59.68044365339092,1220.1777865347083,138.99094,105.16663,157.04916,1.0
arasj,-44.890473781332766,-59.67886718901205,1259.8152124495368,138.4374,105.36669,156.50114,1.0
arasj,-44.87251164473765,-59.67729170567262,1337.78154171115,143.85674,107.18544,161.91801,1.0
arasj,-44.85454942968829,-59.675717202149976,1397.8042829749704,149.72595,108.16662,167.78882,1.0
arasj,-44.836587136211485,-59.674143677223384,1365.1825230122479,143.8486,107.57032,161.91148,1.0
arasj,-44.81862476433403,-59.672571129674004,1319.8230637632173,139.61818,106.06102,157.6835,1.0
arasj,-44.800662314082714,-59.67099955828488,1311.2085743381417,140.1744,105.78094,158.23303,1.0
arasj,-44.78269978548429,-59.66942896184096,1414.2088809553973,142.99005,107.41205,161.05264,1.0
arasj,-44.76473717856548,-59.66785933912904,1205.4404199728692,155.5667,109.639984,173.61049,1.0
arasj,-44.746774493352994,-59.666290688937835,1194.7265223520658,139.8675,107.145226,157.92421,1.0
arasj,-44.72881172987355,-59.66472301005791,1185.759788540693,137.29704,105.522964,155.35832,1.0
arasj,-44.7108488881538,-59.66315630128171,1165.2690665672042,142.15723,108.01331,160.22029,1.0
arasj,-44.69288596822042,-59.66159056140356,1215.8810665375695,148.13092,110.06699,166.19008,1.0
arasj,-44.67492297010007,-59.660025789219624,1175.815974122563,141.2774,107.31004,159.33853,1.0
arasj,-44.65695989381933,-59.65846198352794,1176.0492467690844,138.28896,106.236244,156.3514,1.0
