srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
gsj,-44.86139614011124,-63.88137538688921,94.0,73.63731,65.64425,91.23972,1.0
gsj,-44.771590299979316,-63.8733756845816,92.0,76.15894,70.54954,93.65005,1.0
gsj,-44.68178248306947,-63.8654007384231,96.0,79.4507,65.79517,97.524925,1.0
gsj,-44.59197269283407,-63.85745039495337,93.0,77.21358,71.72315,94.94163,1.0
gsj,-44.50216093271298,-63.84952450189406,87.01862384118455,81.81176,71.905624,99.614006,1.0
gsj,-44.41234720613365,-63.84162290813713,91.0,82.38476,73.556274,100.24068,1.0
gsj,-44.32253151651157,-63.83374546373339,88.00000000000001,103.66792,78.598854,121.96944,1.0
gsj,-44.23271386725038,-63.8258920198811,85.0,96.430084,79.125824,114.6317,1.0
gsj,-44.14289426174222,-63.818062428914764,81.0,90.924095,79.19854,108.841324,1.0
gsj,-44.053072703367896,-63.81025654429402,80.22832378465314,92.03976,80.66952,109.98185,1.0
gsj,-43.96324919549722,-63.80247422059266,77.0,95.98852,82.292656,114.07343,1.0
gsj,-43.87342374148917,-63.79471531348779,74.76832478829671,93.81673,83.26085,111.72801,1.0
gsj,-43.78359634469219,-63.78697967974912,75.0,94.56781,84.39142,112.426056,1.0
gsj,-43.693767008444404,-63.779267177228355,76.0,98.02713,86.29207,116.02674,1.0
gsj,-43.603935736073865,-63.77157766484869,73.0,97.21565,87.16588,115.12242,1.0
gsj,-43.51410253089876,-63.76391100259452,68.4381113998225,99.436874,88.896164,117.391846,1.0
gsj,-43.42426739622768,-63.756267051501155,77.0,101.09037,90.47309,118.99662,1.0
gsj,-43.33443033535982,-63.748645673644695,81.04141683832255,104.1696,92.29772,122.052155,1.0
gsj,-43.244591351585214,-63.741046732132084,79.71970331995935,107.65111,93.88951,125.74808,1.0
gsj,-43.15475044818496,-63.733470091091135,83.0,106.87043,94.5971,124.88022,1.0
gsj,-43.06490762843142,-63.725915615660824,78.0,107.37453,95.92286,125.34154,1.0
gsj,-42.9750628955885,-63.71838317198159,71.44221463297687,106.92575,96.89363,124.83173,1.0
gsj,-42.885216252911746,-63.710872627185786,79.10416696753856,110.09003,98.51938,128.0896,1.0
gsj,-44.86121525248918,-63.8894,94.00000000000001,69.64645,64.13403,87.30042,1.0
gsj,-44.77122908111853,-63.8894,92.0,77.81122,69.252815,95.49877,1.0
gsj,-44.68124148588665,-63.8894,94.99999999999999,80.02097,72.397575,97.74732,1.0
gsj,-44.59125246680625,-63.8894,93.9736260338455,78.72728,69.76919,96.66539,1.0
gsj,-44.50126202390411,-63.8894,87.0,82.73219,74.29651,100.47627,1.0
gsj,-44.411270157221004,-63.8894,89.00000000000001,94.26855,77.95674,111.90389,1.0
gsj,-44.32127686681182,-63.8894,87.0,90.13987,78.316246,107.79229,1.0
gsj,-44.23128215274547,-63.8894,85.0,88.92676,77.290985,106.88848,1.0
gsj,-44.141286015104946,-63.8894,82.0,89.61241,78.86045,107.549644,1.0
gsj,-44.05128845398725,-63.8894,78.04400002534571,94.12223,81.42159,112.09887,1.0
gsj,-43.9612894695035,-63.8894,78.00000000000001,91.94307,81.48671,109.870544,1.0
gsj,-43.87128906177883,-63.8894,75.0,94.360245,83.44302,112.296646,1.0
gsj,-43.781287230952444,-63.8894,74.0,95.97718,84.93095,113.948235,1.0
gsj,-43.69128397717763,-63.8894,72.00000000000001,98.001335,86.59263,115.98744,1.0
gsj,-43.601279300621705,-63.8894,73.00000000000001,99.43181,88.06597,117.3999,1.0
gsj,-43.51127320146605,-63.8894,73.79443165829632,101.73928,90.146866,119.70156,1.0
gsj,-43.421265679906114,-63.8894,74.97343440533598,103.47758,91.51191,121.47925,1.0
