srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
zais,-38.49121921499992,-56.48354604586632,81.3926115887382,68.11302,48.354725,82.17765,1.0
zais,-38.473238356610565,-56.48209281423432,81.0,66.924,56.92346,87.3222,1.0
zais,-38.455257424860136,-56.48064030428145,72.17387659783552,67.46112,60.817703,83.36513,1.0
zais,-38.43727641977679,-56.47918851518628,81.01516811588927,67.86783,58.61347,85.47072,1.0
zais,-38.41929534138877,-56.47773744612845,80.0,68.51756,58.186054,86.347916,1.0
zais,-38.40131418972424,-56.47628709628871,79.11404360612639,65.847244,62.01263,83.41187,1.0
zais,-38.38333296481137,-56.47483746484888,81.0,93.010155,62.894714,108.853134,1.0
zais,-38.36535166667838,-56.4733885509919,80.9076314956748,72.21835,73.18711,89.49852,1.0
zais,-38.34737029535341,-56.47194035390175,80.79641044259375,71.59202,67.87853,88.83176,1.0
zais,-38.329388850864625,-56.47049287276355,80.76855033387469,73.758804,69.18153,91.29353,1.0
zais,-38.31140733324022,-56.46904610676345,81.0,79.03684,63.406124,96.89819,1.0
zais,-38.29342574250832,-56.467600055088724,80.25450901311333,70.226135,66.71266,87.829704,1.0
zais,-38.2754440786971,-56.46615471692769,78.37781854970146,82.43908,64.6103,100.83077,1.0
zais,-38.2574623418347,-56.46471009146977,79.0,74.983925,71.33402,92.36914,1.0
zais,-38.23948053194927,-56.463266177905446,79.02467234347365,80.788864,76.19167,98.24897,1.0
zais,-38.22149864906895,-56.46182297542627,79.0,82.16382,67.920105,99.79307,1.0
zais,-38.203516693221864,-56.46038048322489,79.0,74.61964,69.15165,92.28558,1.0
zais,-38.18553466443616,-56.45893870049498,81.98172579397398,82.62753,67.25789,100.74683,1.0
zais,-38.16755256273995,-56.45749762643133,87.78662145111352,85.11956,67.972725,103.27831,1.0
zais,-38.149570388161365,-56.45605726022976,88.0,81.805336,69.7042,99.548225,1.0
zais,-38.13158814072851,-56.45461760108717,86.44113545169752,79.00682,73.80665,96.62047,1.0
zais,-38.113605820469516,-56.45317864820152,85.0,81.5867,74.59551,99.22237,1.0
