lat,lon,tl
-49.51592989911991,-63.22062450224902,152.91293
-49.60535671504405,-63.206292999959935,164.56187
-49.69478036134502,-63.19190897512559,162.8061
-49.78420082665495,-63.17747206928112,165.44444
-49.87361809951319,-63.16298192082812,169.04033
-49.96303216836504,-63.14843816500001,167.9859
-50.05244302156056,-63.1338404338269,172166
-50.141850647353344,-63.1191883561,171.08105
-50.23125503389926,-63.10448155733559,170.61205
-50.32065616925521,-63.08971965973847,168.58313
-50.41005404137787,-63.07490228216493,167.9805
-50.499448638122345,-63.060029040085226,170.56282
-50.58883994724093,-63.04509954554562,171.33109
-50.67822795638171,-63.03011340712975,172.27425
-50.7676126530873,-63.01507022991968,172.50346
-50.85699402479339,-62.99996961545628,171.94586
-50.94637205882744,-62.98481116169909,173.12476
-51.03574674240719,-62.96959446298576,173.4145
-51.1251180626394,-62.95431910999072,175.64366
-51.21448600651817,-62.93898468968354,175577
-51.30385056092376,-62.923590785286535,173.5845
-51.39321171262087,-62.908136976231845,174.67952
-51.48256944825728,-62.89262283811796,177.18118
-51.57192375436228,-62.877047942665634,173.4299
-51.66127461734516,-62.861411857673176,176.81897
-51.750622023493605,-62.84571414697111,177.6554
-51.839965958972144,-62.82995437037626,176.62221
-51.92930640982054,-62.81413208364517,184.24931
-52.01864336195214,-62.79824683842688,177.42699
-52.10797680115225,-62.78229818221501,176.6502
-52.19730671307647,-62.76628565829925,180.00273
-52.28663308324895,-62.75020880571615,179.8389
-52.3759558970607,-62.734067159199135,180.25261
-52.46527513976786,-62.71786024912794,180.5939
-52.55459079648988,-62.70158760147727,180.73357
-52.64390285220781,-62.68524873776475,179.77747
-52.73321129176233,-62.66884317499815,180.0384
-52.8225160998521,-62.652370425621775,181.24747
-52.91181726103172,-62.635829997462295,181.6777
-53.00111475970993,-62.61922139367356,180.61438
-53.09040858014759,-62.60254411268084,182.22449
-53.17969870645586,-62.58579764812408,182.26988
-53.26898512259408,-62.56898148880051,182.34384
-53.358267812367856,-62.55209511860633,182.9035
-53.44754675942696,-62.53513801647759,182.41179
-53.53682194726328,-62.518109656330175,182.85645
-53.62609335920874,-62.50100950699901,182.0311
-53.71536097843312,-62.48383703217627,182.29312
-53.804624787941954,-62.46659169034883,181.24721
-53.89388477057432,-62.44927293473463,181.98605
-53.98314090900055,-62.431880213218285,182.65489
-54.072393185720045,-62.41441296828564,181.77753
-54.161641583058994,-62.3968706369574,181.93004
-54.25088608316799,-62.37925265072177,181.24887
-54.3401266680197,-62.36155843546615,182.26562
-54.42936331940644,-62.34378741140778,179.6477
-54.51859601893782,-62.32593899302333,184.70023
-54.60782474803821,-62.30801258897749,181.03383
-54.69704948794424,-62.29000760205053,185.41373
-54.78627021970228,-62.27192342906466,184.73055
-54.87548692416588,-62.25375946080944,183.87823
-54.96469958199309,-62.235515081965936,188.45834
-55.05390817364387,-62.21718967102983,187.12941
-55.14311267937734,-62.19878260023331,188.77151
-55.232313079249074,-62.18029323546585,191.47556
-55.32150935310831,-62.161720936193696,188.97849
-55.41070148059511,-62.14306505537824,195.07019
-55.49988944113753,-62.12432493939304,190.51854
-55.58907321394871,-62.10549992793968,189.42374
-55.67825277802383,-62.08658935396223,192.40988
-55.76742811213724,-62.06759254356053,190.95331
-55.85659919483934,-62.04850881590204,192.12633
-55.945766004453496,-62.02933748313233,201.77827
-56.034928519072906,-62.01007785028429,190.11403
-56.12408671655743,-61.990729215185794,189.64516
-56.213240574530246,-61.97129086836605,193.68712
-56.30239007037477,-61.95176209296042,189.75249
-56.39153518123105,-61.93214216461381,196.50224
-56.48067588399261,-61.91243035138248,197.14587
-56.56981215530284,-61.89262591363439,192.83394
-56.65894397155158,-61.87272810394793,202.78383
-56.748071308871495,-61.852736167009056,190.87627
-56.83719414313455,-61.83264933950687,195.3823
-56.92631244994826,-61.81246685002743,190.40315
-57.015426204652,-61.79218791894595,189.68628
-57.104535382313145,-61.7718117583173,192523
-57.19363995772336,-61.75133757176469,189.11974
-57.28273990539455,-61.730764554366665,193.0929
-57.37183519955495,-61.71009189254216,189.44058
-57.46092581414505,-61.689318763933855,189.07765
-57.55001172281351,-61.668444337289536,190.1062
-57.63909289891305,-61.64746777234157,188.13492
-57.72816931549604,-61.62638821968445,185.97054
-57.8172409453104,-61.60520482065037,185.82204
-57.906307760795016,-61.58391670718265,183.27121
-57.99536973407547,-61.56252300170728,183.26233
-58.08442683695937,-61.541022817002194,187.39337
-58.17347904093185,-61.51941525606448,190.01212
-58.26252631715083,-61.49769941197541,185.54218
-58.3515686364423,-61.47587436776319,182.11821
-58.44060596929543,-61.45393919626349,183.52423
-58.52963828585773,-61.43189295997764,188.12971
-58.61866555593002,-61.40973471092845,181.98138
-58.70768774896132,-61.38746349051364,179.5331
-58.79670483404374,-61.36507832935683,182.82657
-58.88571677990717,-61.34257824715602,178.44011
-58.97472355491399,-61.31996225252949,181.91438
-59.06372512705358,-61.29722934285917,179.7582
-59.15272146393683,-61.27437850413129,178.66293
-59.24171253279056,-61.25140871077439,180.00246
-59.3306983004517,-61.22831892549449,182.25641
-59.419678733361565,-61.20510809910758,180.82027
-59.50865379755989,-61.18177517036913,178.76297
-59.59762345867884,-61.158319065800704,177.04456
-59.686587681936885,-61.13473869951364,175.86888
-59.77554643213257,-61.11103297302967,176.51045
-59.86449967363816,-61.08720077509835,180.1372
-59.95344737039324,-61.063240981511534,182.35995
-57.168108578230985,-63.18151925000269,151.70256
