frecuencias,tl_z_8,tl_z_half,tl_max_z
2.0,160.92242119327224,127.9787564579058,178.97913639620853
4.0,158.27354401140795,123.00733008272329,176.34309377741337
6.0,152.60184881071254,121.93652529708764,170.66220788645302
8.0,147.3226085653064,124.89729710090458,165.37279916695553
10.0,155.49743612726184,124.25546342308157,173.58387848653572
12.0,152.93347967576597,131.80638411771855,170.93716654618422
14.0,147.97782691822135,130.7782870711309,165.97828440313174
16.0,151.36734087594613,124.44364845782064,169.50761789599
18.0,152.47962524322523,129.19386944436937,170.44437356605005
20.0,138.11114079493538,125.17918923238256,156.084479098774
22.0,138.14293771047323,129.97674617384075,156.09508111306735
24.0,145.27207954061177,123.12297416464862,163.295645638626
26.0,146.25434304416387,129.5124093887254,164.37048139863674
28.0,139.97539054201144,127.50458460003016,157.91557736594592
30.0,140.54900543160508,119.97521408940958,158.55782714392427
32.0,152.75064089238654,130.03693728494764,171.17841464502175
34.0,139.23521694260603,134.99693299718604,156.74299765160248
36.0,139.05380170309093,129.18968773641495,156.87806245534517
38.0,148.64355093951178,122.8752871333085,166.86728938529885
40.0,135.92238391579477,134.5589365789481,153.89269997986025
42.0,140.51313544900302,127.27365629327277,158.265284409139
44.0,136.25944601013157,126.70792702472416,155.21526070651646
46.0,139.44588212039326,126.82081093506456,156.92195282974143
48.0,143.75870462108207,130.15670783915473,160.89158270284332
50.0,138.6783500758196,130.86093894603954,156.32754024110616
52.0,141.9000200708724,125.79730930813108,160.42201695840484
54.0,133.79849270520555,126.46293197442776,157.51211998909545
56.0,139.8523447451505,130.69276211641665,156.80251032445892
58.0,146.23852552155515,128.1390034787617,163.75696885014875
60.0,140.663556852835,139.19923610945918,158.14268359617722
62.0,138.92717931713293,137.04364383137062,168.09788464464972
64.0,139.08657639060314,124.35415062942366,154.91633093712386
66.0,135.6974792638902,131.45818483189112,161.8235630341769
68.0,135.9734667969375,128.79878937692166,158.18920978521746
70.0,138.38226769480207,125.14718725539365,162.69010210848757
72.0,135.27750473229025,128.93631162844122,172.35768182215728
74.0,132.11207113410285,129.07656476518267,153.85153297019937
76.0,133.58927968176528,136.59718352802903,164.9273053540186
78.0,133.66576071310354,129.74997956645856,171.00014918246413
80.0,137.64669045956862,131.9751769818703,156.59461827745966
82.0,136.03365563167176,129.07651693702837,156.29826662452044
84.0,147.39689560619263,128.7718271234341,162.68337003607826
86.0,134.1720002648965,153.03674152436196,189.17072998698885
88.0,132.86153408042208,131.21731792701107,156.1188621395961
90.0,136.281260749393,129.96838820720407,153.58138614041138
92.0,134.0527562504688,129.20439003497057,156.66774303299218
94.0,139.4877040562545,137.65249831338508,161.08411106213072
96.0,143.68467265345473,135.69939819000766,161.16212075590505
98.0,126.88054347839552,132.70838784736915,157.3411625191197
100.0,132.73330119969344,135.1340749050479,163.76871113863513
