frecuencias,tl_z_8,tl_z_half,tl_max_z
2.0,287.28152858492325,271.75356312218025,305.3394677337011
4.0,386.5244017689285,371.18523761584976,404.5731651227737
6.0,461.7777327563068,446.67653317767287,479.7980221311683
8.0,391.3328473131766,376.6152745773612,409.3659963142449
10.0,272.6898150891699,257.99358342832403,290.7289839068569
12.0,241.7154742411069,227.19536463758004,259.7427815682366
14.0,222.93712492021143,208.69264449806727,240.95428717938157
16.0,210.2971970662849,196.1718111100681,228.31831345159563
18.0,206.4953056180346,192.3968802053059,224.51571373679596
20.0,204.8075881182465,190.7565422322319,222.82146848568263
22.0,190.65578797368315,176.61709884163014,208.67650731501968
24.0,188.1677245379929,173.90487853960366,206.20023896221485
26.0,186.638015554032,172.58144204676734,204.6565080121747
28.0,185.66439639397169,171.25480573388046,203.68965423477815
30.0,177.9126697321009,163.7418760134781,195.92816388947003
32.0,178.12891751828968,163.7878069596437,196.1596458314121
34.0,192.88891524351305,180.2149018276133,210.8873561993232
36.0,166.8160475852315,153.13172299734904,184.86265331046195
38.0,176.10093602667985,161.95979639551948,194.1503290817728
40.0,173.38159989869624,159.32427133195037,191.39349021922865
42.0,164.17808688395127,151.1402748069311,182.10120582421453
44.0,163.4615515389645,150.14970663392947,181.38614296448372
46.0,165.17018084165625,151.9941588079647,183.11351650870603
48.0,174.59843766865438,159.03759151356638,192.71508537652767
50.0,173.59264049445784,157.8103365594838,191.85562133703564
52.0,167.94687929534922,152.70361216572087,186.16979584416603
54.0,164.90311107191172,152.45030409211006,182.85772636235515
56.0,159.20948148894743,145.03755654645985,177.25625491355115
58.0,163.98519914757736,152.2120696448276,181.8570100438391
60.0,160.9178799869573,144.58008768231184,179.03311819439534
62.0,161.3491320507619,148.12581967394215,179.21988655088728
64.0,167.4333735434548,150.59883994199345,185.5632248929013
66.0,160.26300694717509,149.29557849215504,178.12796251377455
68.0,158.42910744249488,145.2449650235689,176.62868652361638
70.0,156.34894864885322,145.68978019560947,174.33493074455322
72.0,162.96442544532496,147.77250879202327,181.29464517088857
74.0,161.90156476349097,146.84275074401955,179.5146866375146
76.0,151.87309218273106,142.3084153026372,169.87973608250138
78.0,161.41405315912144,145.2590142797227,179.74726315182863
80.0,157.93718014241213,144.27358865761687,175.11661866908375
82.0,171.6655802667332,152.47080338506225,189.3287052030952
84.0,152.21812527480722,143.88340799029731,169.93977700651763
86.0,157.57722714022037,145.57259771478698,175.62129725680813
88.0,160.17865988601022,147.15000045581522,178.63742546382008
90.0,161.98660873376747,149.03339468518038,180.1477723323852
92.0,160.59237831505084,153.00284666287658,178.28527188521016
94.0,167.81356602064,154.92145583820758,185.47490397892363
96.0,170.99214413720466,155.94167765144348,188.2195817445788
98.0,162.2022392954603,148.96764352264103,179.92564285920668
100.0,173.83209722639836,157.13697246439747,192.38746222012756
