frecuencias,tl_z_8,tl_z_half,tl_max_z
2.0,284.4050549463223,268.9029753646336,302.46400321684365
4.0,392.7466844302053,377.4192220446541,410.8019667612196
6.0,462.1456599796809,447.0702726507941,480.1940634654863
8.0,440.2650638359062,425.5534678304312,458.3036802786677
10.0,291.8608538491836,277.4187962756535,309.8924008393837
12.0,255.0821968732149,240.7991403791474,273.1097179076124
14.0,239.4860596731262,225.3192005216788,257.51074718924207
16.0,229.14332687495008,215.0656171059172,247.16594060182464
18.0,222.6768057447655,208.667881555328,240.697921387572
20.0,212.76522399161675,198.80839995398483,230.78531567671203
22.0,222.92385228196812,209.004626603804,240.94333518932007
24.0,201.03532982383177,187.14154817213463,219.05455235276995
26.0,197.3970991504878,183.62386837034376,215.41289462163687
28.0,193.57834213111585,179.57942977978814,211.60213153969477
30.0,196.0821961313573,182.5048492718276,214.0922907708409
32.0,196.9055942245552,183.0508743266392,214.92536714445689
34.0,195.87746932831143,181.5850050304584,213.91277891740555
36.0,184.00794671693603,170.48397079668877,202.0170273740632
38.0,181.1206495837608,166.82685966220723,199.1567883181252
40.0,184.9525181972828,170.78533543479466,202.9843759078641
42.0,178.34933402285895,164.67342594804938,196.36604781409235
44.0,182.0563351631832,167.39327095110696,200.10526500172517
46.0,179.82823977711038,165.15017980512565,197.8785046558453
48.0,177.54828187296133,162.67304800161028,195.5986600377855
50.0,187.0807234721009,173.1606134480103,205.0890827085682
52.0,179.88877239239912,165.41963943977973,197.9306210392868
54.0,182.3863352234537,168.3053375573621,200.41218503468505
56.0,179.33947496603415,163.52588348447438,197.44357210467783
58.0,175.4487038262535,161.13394556270515,193.4966617160494
60.0,179.86842737864367,166.68107075210713,197.83471104644923
62.0,178.95413338792332,163.0992515496029,197.0594105975712
64.0,178.52892671134902,163.7624506246675,196.58130295703216
66.0,180.07898418165172,164.7184131043365,198.14399111360427
68.0,180.22887003869656,165.44978217982035,198.28767628017303
70.0,189.90166829296865,173.47317822723647,208.0472193415199
72.0,176.32950839134313,162.32825459117683,194.25441592686929
74.0,187.74329196682808,183.5636843078181,205.43448396724156
76.0,180.2602874471199,164.21990451872313,198.3001535474322
78.0,184.71927624795157,163.95997957687263,202.87237597340808
80.0,177.96757908690438,165.82637399103766,195.90441553704483
82.0,187.5661645457842,171.9934185632627,205.8019742366573
84.0,182.2773096050255,162.6143494425454,200.7202448101009
86.0,181.35462706532545,170.4817286262291,199.21134319261
88.0,179.61977250149596,167.9214468880415,197.46712925747417
90.0,174.67227160018126,165.42762904061004,192.46909501249183
92.0,182.0325377009632,168.0047746848536,200.09194635122577
94.0,201.64819899575943,176.78749408065403,218.424056315171
96.0,184.52031843273167,159.5305577931138,202.73242431243077
98.0,184.9807661677308,163.41431599675465,203.9749818898759
100.0,179.41522335428246,158.25730689349916,197.86859923324369
