frecuencias,tl_z_8,tl_z_half,tl_max_z
2.0,198.5494384765625,184.65289306640625,216.57781982421875
4.0,228.0935211181641,213.9458465576172,246.22964477539065
6.0,248.47837829589844,234.6433868408203,266.5452880859375
8.0,266.4333801269531,252.8935546875,284.4799499511719
10.0,192.9623565673828,179.68251037597656,210.9892425537109
12.0,168.76426696777344,155.65106201171875,186.785888671875
14.0,159.2976531982422,146.29458618164062,177.31536865234375
16.0,155.91226196289062,142.98751831054688,173.92745971679688
18.0,151.22000122070312,138.36647033691406,169.23280334472656
20.0,147.5621795654297,134.73919677734375,165.5742645263672
22.0,147.8079071044922,134.96900939941406,165.82138061523438
24.0,145.62673950195312,132.7568359375,163.6422576904297
26.0,143.029541015625,130.13449096679688,161.046875
28.0,146.4578857421875,133.6309356689453,164.47230529785156
30.0,141.0374755859375,128.1680145263672,159.0538787841797
32.0,140.86260986328125,127.44235229492188,158.9076690673828
34.0,139.2750701904297,126.11644744873048,157.30715942382812
36.0,141.65756225585938,128.60989379882812,159.68270874023438
38.0,140.82962036132812,127.20842742919922,158.88172912597656
40.0,141.39517211914062,127.6974639892578,159.4474639892578
42.0,138.52549743652344,126.1005630493164,156.51951599121094
44.0,139.2969512939453,126.21572875976562,157.32257080078125
46.0,136.88079833984375,124.2039031982422,154.89442443847656
48.0,137.25363159179688,125.1189422607422,155.24961853027344
50.0,137.78680419921875,124.38477325439452,155.83502197265625
52.0,136.04188537597656,123.19390869140624,154.02362060546875
54.0,137.99949645996094,124.82203674316406,156.05955505371094
56.0,141.1534423828125,122.5228042602539,159.70230102539062
58.0,141.93569946289062,125.79193115234376,160.123046875
60.0,136.0106658935547,125.11294555664062,153.93472290039062
62.0,149.1063995361328,128.99166870117188,166.8260498046875
64.0,139.17523193359375,124.7377700805664,157.19569396972656
66.0,139.46823120117188,123.63670349121094,157.58258056640625
68.0,143.69422912597656,123.98339080810548,161.97662353515625
70.0,134.8571319580078,121.99845123291016,152.84646606445312
72.0,136.0730743408203,123.27987670898438,154.1477508544922
74.0,137.96412658691406,123.0070571899414,156.33975219726562
76.0,145.10235595703125,124.77116394042967,163.51182556152344
78.0,136.7053680419922,124.66381072998048,154.79168701171875
80.0,135.8302764892578,124.99304962158205,153.5655517578125
82.0,136.19009399414062,122.87902069091795,154.30050659179688
84.0,143.90615844726562,126.64962768554688,161.86798095703125
86.0,136.49029541015625,124.23993682861328,154.40618896484375
88.0,136.14382934570312,124.16730499267578,154.0918731689453
90.0,135.85031127929688,123.35387420654295,153.6791229248047
92.0,137.0735626220703,125.4341278076172,154.78384399414062
94.0,146.27247619628906,128.86199951171875,163.28579711914062
96.0,136.79110717773438,125.9401397705078,154.84214782714844
98.0,148.93228149414062,127.3387680053711,168.7515106201172
100.0,140.04296875,131.69989013671875,157.3655242919922
